industry_id,industry_name
1208,Wholesale Luxury Goods and Jewelry
1231,Wholesale Food and Beverage
1257,Wholesale Chemical and Allied Products
1285,Internet Marketplace Platforms
1292,Retail Motor Vehicles
1309,Retail Furniture and Home Furnishings
1319,"Retail Appliances, Electrical, and Electronic Equipment"
1324,Retail Building Materials and Garden Equipment
1339,Food and Beverage Retail
1359,Retail Health and Personal Care Products
1409,Retail Books and Printed News
1424,Retail Office Supplies and Gifts
1431,Retail Recyclable Materials & Used Merchandise
1481,Rail Transportation
1594,"Technology, Information and Media"
1602,
1673,Credit Intermediation
1696,Loan Brokers
1713,Securities and Commodity Exchanges
1720,Investment Advice
1725,Insurance Carriers
1737,Insurance Agencies and Brokerages
1743,Insurance and Employee Benefit Funds
1750,Trusts and Estates
1757,Real Estate and Equipment Rental Services
1779,Equipment Rental Services
1798,Commercial and Industrial Equipment Rental
1810,Professional Services
1855,IT System Design Services
1862,Marketing Services
1912,Administrative and Support Services
1931,Telephone Call Centers
1938,Collection Agencies
1965,Janitorial Services
1999,Education
2020,
2045,
2054,"Physical, Occupational and Speech Therapists"
2074,Home Health Care Services
2081,Hospitals
2091,Nursing Homes and Residential Care Facilities
2115,Community Services
2163,
2167,Amusement Parks and Arcades
2194,Hotels and Motels
2225,Repair and Maintenance
2226,
2318,Household Services
2353,Health and Human Services
2358,Public Health
2360,Public Assistance Programs
2366,"Air, Water, and Waste Program Management"
2368,
2374,Community Development and Urban Planning
2401,
2458,Data Infrastructure and Analytics
2468,Electrical Equipment Manufacturing
2934,
3065,Courts of Law
3070,Fire Protection
3085,Transportation Programs
3086,Utilities Administration
3089,
3102,IT System Custom Software Development
3103,IT System Operations and Maintenance
3104,IT System Installation and Disposal
3105,IT System Training and Support
3106,IT System Data Services
3107,IT System Testing and Evaluation
3124,Internet News
3126,Interior Design
3127,Social Networking Platforms
3129,Business Content
3132,Internet Publishing
3134,
3187,Defense & Space
3190,Apparel & Fashion
3195,Food & Beverages
3196,Fine Art
3197,Building Materials
3198,Automotive
3200,Education Management
3202,Non-profit Organization Management
3206,Outsourcing/Offshoring
3207,"Health, Wellness & Fitness"
3210,Human Resources
3211,
3214,Online Media
3217,
3218,Semiconductors
3222,Transportation/Trucking/Railroad
3224,Food Production
3227,Design
3231,Information Technology & Services
3233,
3237,Entertainment
3238,Biotechnology
3239,Paper & Forest Products
3241,Renewable Energy Equipment Manufacturing
3242,Engineering Services
3243,Services for Renewable Energy
3244,Digital Accessibility Services
3246,
3248,Robotics Engineering
3249,Surveying and Mapping Services
3250,Retail Pharmacies
3251,Climate Technology Product Manufacturing
3253,Alternative Fuel Vehicle Manufacturing
